Protocol of Changes												
sys_varlog_name	sys_varlog_action	sys_varlog_date	sys_varlog_comment		sys_aclog_name	sys_aclog_type	sys_aclog_action	sys_aclog_date	sys_aclog_comment			
variable name	action	date	manual comment		acro	type	action	date	manual comment			
tpceepx	add	7/13/2010										
tpcee_s	add	7/13/2010										
afc	change	7/14/2010										
amrrm	change	7/14/2010										
amrtn	change	7/14/2010										
bch	change	7/14/2010										
bho	change	7/14/2010										
bot	change	7/14/2010										
bunct	change	7/14/2010										
buntr	change	7/14/2010										
dag	change	7/14/2010										
dct	change	7/14/2010										
dcz	change	7/14/2010										
ddi	change	7/14/2010										
ddt	change	7/14/2010										
dec	change	7/14/2010										
deh	change	7/14/2010										
dew	change	7/14/2010										
dey	change	7/14/2010										
dgn	change	7/14/2010										
dms	change	7/14/2010										
drgn1	change	7/14/2010										
dwt	change	7/14/2010										
kivho	change	7/14/2010										
lcr	change	7/14/2010										
lcs	change	7/14/2010										
les	change	7/14/2010										
lfs	change	7/14/2010										
lhw	change	7/14/2010										
lin	change	7/14/2010										
liwwh	change	7/14/2010										
lle	change	7/14/2010										
loc	change	7/14/2010										
lowas	change	7/14/2010										
lpm	change	7/14/2010										
xcc	change	7/14/2010										
xhcmomc	change	7/14/2010										
xhcmomi	change	7/14/2010										
xhcot	change	7/14/2010										
xhcsc	change	7/14/2010										
xmp	change	7/14/2010										
yem	change	7/14/2010										
yiy	change	7/14/2010										
yot	change	7/14/2010										
ypp	change	7/14/2010										
ypr	change	7/14/2010										
yptmp	change	7/14/2010										
yptot	change	7/14/2010										
yse	change	7/14/2010										
yse	change	7/14/2010										
stk01	delete	7/20/2010										
stk01_s	add	7/20/2010										
stk_s	add	7/22/2010										
stk02_s	add	7/22/2010										
stk03_s	add	7/22/2010										
stk04_s	add	7/22/2010										
stk05_s	add	7/22/2010										
stk06_s	add	7/22/2010										
stk07_s	add	7/22/2010										
stk08_s	add	7/22/2010										
stk_s	delete	7/22/2010										
stk08_s	delete	7/30/2010										
stk07_s	delete	7/30/2010										
tscerci_s	add	8/5/2010										
tscseci_s	add	8/5/2010										
tscseac_s	add	8/5/2010										
tscseir_s	add	8/5/2010										
tintape_s	add	8/9/2010										
tinfu_s	add	8/9/2010										
afc00_s	add	8/11/2010										
bhope_s	add	8/12/2010										
lyrmy_s	add	8/16/2010										
lyrmy_s	delete	8/16/2010										
lyrmy	add	8/16/2010										
bchbarg_s	add	9/8/2010										
bchlgrg_s	add	9/8/2010										
bchucrg_s	add	9/8/2010										
bchbamtrg_s	add	9/8/2010										
bchbaucrg_s	add	9/8/2010										
bchmtrg_s	add	9/8/2010										
bchlgmtrg_s	add	9/8/2010										
bchlgucrg_s	add	9/8/2010										
bchbamtna_s	add	9/8/2010										
tintcfarg_s	add	9/8/2010										
tintcccrg_s	add	9/8/2010										
poanc00_s	add	9/8/2010										
poancna_s	add	9/8/2010										
poancrg_s	add	9/8/2010										
tintcrtrg_s	add	9/8/2010										
tintclprg_s	add	9/8/2010										
tintchkrg_s	add	9/8/2010										
tintceerg_s	add	9/8/2010										
bchdi	add	9/8/2010										
bchbaucna_s	add	9/9/2010										
ddita	add	10/1/2010										
tintaht_s	add	10/1/2010										
xhl	add	10/1/2010										
tintctu_s	add	10/1/2010										
xht	add	10/1/2010										
bsaht_s	add	10/1/2010										
boacs_s	add	10/1/2010										
txc_s	add	10/1/2010										
xed	change	10/1/2010										
amrar	change	10/1/2010										
tintchl_s	change	10/1/2010										
tintadb_s	change	10/1/2010										
dey	change	10/1/2010										
yemmy	change	10/1/2010										
ysemy	change	10/1/2010										
tinta00_s	change	10/1/2010										
yiyot	add	10/6/2010										
tsccthl_s	add	10/7/2010										
tpcctpi_s	add	10/7/2010										
tinrt_s	add	10/12/2010										
bfalg_s	add	10/12/2010										
yivwg	change	10/14/2010										
xpp	change	10/14/2010										
xhcot	change	10/14/2010										
tintapv_s	change	10/14/2010										
tschlfx_s	add	11/12/2010										
tschl_s	add	11/12/2010										
tschl00_s	add	11/12/2010										
bhlsp_s	add	11/12/2010										
pxp_s	add	11/24/2010										
tinpe_s	add	11/24/2010										
poaps	add	1/19/2011										
poact_s	add	1/19/2011										
poact	add	1/19/2011										
pyr_s	add	1/19/2011										
psuwdct_s	add	1/19/2011										
pdi_s	add	1/19/2011										
poals	add	1/19/2011										
psuwdnc_s	add	1/19/2011										
bdict_s	add	1/19/2011										
bsaab	add	1/19/2011										
bdinc_s	add	1/19/2011										
bho00	add	1/19/2011										
bhoht	add	1/19/2011										
bhl_s	add	1/19/2011										
bcc_s	add	1/19/2011										
tpceepi	add	1/19/2011										
bhout	add	1/19/2011										
poapu	add	1/19/2011										
psuwdct	add	1/19/2011										
bdinc	add	1/19/2011										
tintcoa_s	add	1/19/2011										
tintcwd_s	add	1/19/2011										
tintchc_s	add	1/19/2011										
psuwdnc	add	1/19/2011										
tpcee	add	1/19/2011										
tinsv_s	add	1/19/2011										
yprmr	add	1/19/2011										
phlmy	add	1/19/2011										
tintcht_s	add	2/16/2011										
tintcpv_s	add	2/16/2011										
lcr01	add	3/24/2011										
lcr02	add	3/24/2011										
tmu01	add	3/24/2011										
tmu02	add	3/24/2011										
bch01_s	add	3/31/2011										
bch02_s	add	3/31/2011										
bpl	add	3/31/2011										
kfbmy	add	3/31/2011										
pdimy	add	3/31/2011										
tintcui_s	add	3/31/2011										
tintcuf_s	add	3/31/2011										
yemtx	add	5/24/2011										
yemnt	add	5/24/2011										
yst	add	5/24/2011										
tscctfa	add	5/24/2011										
tscctfamy	add	5/24/2011										
bcrbafh	add	5/24/2011										
bdirw	add	5/24/2011										
tscerhlct_s	add	5/24/2011										
tscerhlbe_s	add	5/24/2011										
tscctfa01_s	add	5/24/2011										
tscctfa02_s	add	5/24/2011										
tscctfa03_s	add	5/24/2011										
tscctfa04_s	add	5/24/2011										
tsccthl01_s	add	5/24/2011										
tsccthl02_s	add	5/24/2011										
tscerhlbe_s	delete	5/24/2011										
tscerhlct_s	delete	5/24/2011										
taj_s	add	5/24/2011										
bfalp	add	6/16/2011										
bma_s	add	6/16/2011										
lsdmy	add	6/16/2011										
liamy	add	6/16/2011										
bfalp	change	6/16/2011										
bsaen_s	add	6/17/2011										
bsamt01_s	add	6/17/2011										
bsamt03_s	add	6/17/2011										
bunmtmy_s	add	7/7/2011										
bunmt_s	change	7/7/2011										
bfacc	add	8/1/2011										
pditx	add	8/1/2011										
pdiss01	add	8/1/2011										
pdiss02	add	8/1/2011										
pdint	add	8/1/2011										
poatx	add	8/1/2011										
psutx	add	8/1/2011										
pdiss_s	add	8/1/2011										
poass_s	add	8/1/2011										
bfama_s	add	8/1/2011										
psuss_s	add	8/1/2011										
bfana_s	add	8/1/2011										
bfaba_s	add	8/1/2011										
bsamm_s	add	8/1/2011										
bhomu_s	add	8/1/2011										
bfamapr_s	add	8/1/2011										
pss_s	add	8/1/2011										
tintamm_s	add	8/1/2011										
tintase_s	add	8/1/2011										
tintboy_s	add	8/1/2011										
tintbse_s	add	8/1/2011										
drgur00	add	8/1/2011										
bfacc_s	add	8/1/2011										
bfawk	add	8/1/2011										
bfawk_s	add	8/1/2011										
yivwg01	add	8/1/2011										
liwftmy	add	8/1/2011										
yivwg01_s	add	8/1/2011										
poasp	add	8/3/2011										
bedet_s	add	8/3/2011										
bfamh	add	8/3/2011										
bfamh	change	8/3/2011										
bml	add	8/3/2011										
l01	add	8/3/2011										
bml	change	8/3/2011										
poant	add	8/3/2011										
liwwh_s	add	8/3/2011										
bunsa	add	8/3/2011										
bunsa_s	add	8/3/2011										
tscer00_s	add	8/3/2011										
tscer01_s	add	8/3/2011										
tscer02_s	add	8/3/2011										
tscer03_s	add	8/3/2011										
tscer04_s	add	8/3/2011										
tscgv_s	add	8/3/2011										
bsawk_s	add	8/8/2011										
bsanw_s	add	8/8/2011										
bcc_s	change	8/8/2011										
lse_s	add	8/8/2011										
tscot_s	add	8/8/2011										
tscpcpi_s	add	8/8/2011										
bdiot	add	8/8/2011										
bfaot	change	8/8/2011										
yemcs	add	8/8/2011										
bmamy	add	8/8/2011										
yemaj	add	8/8/2011										
pdimy	change	8/8/2011										
yfb00	add	8/8/2011										
yiy00	add	8/8/2011										
bunot	change	8/8/2011										
yse00	add	8/8/2011										
psu00	add	8/8/2011										
bcc	add	8/8/2011										
bfamttm_s	add	8/9/2011										
bwkmtcm_s	add	8/9/2011										
tinrato_s	add	8/9/2011										
dag	change	8/19/2011										
dct	change	8/19/2011										
dcz	change	8/19/2011										
ddi	change	8/19/2011										
ddt	change	8/19/2011										
dgn	change	8/19/2011										
dms	change	8/19/2011										
dwt	change	8/19/2011										
dsu00	change	8/19/2011										
dsu01	change	8/19/2011										
dsu02	change	8/19/2011										
dec	change	8/19/2011										
deh	change	8/19/2011										
dey	change	8/19/2011										
dew	change	8/19/2011										
drgn1	change	8/19/2011										
les	change	8/19/2011										
lcs	change	8/19/2011										
lfs	change	8/19/2011										
lin	change	8/19/2011										
lindi	change	8/19/2011										
liwmy	change	8/19/2011										
liwwh	change	8/19/2011										
loc	change	8/19/2011										
lpemy	change	8/19/2011										
lse	change	8/19/2011										
lunmy	change	8/19/2011										
lowas	change	8/19/2011										
yivwg	change	8/19/2011										
yem	change	8/19/2011										
yemmy	change	8/19/2011										
kfb	change	8/19/2011										
kfbmy	change	8/19/2011										
ypp	change	8/19/2011										
yse	change	8/19/2011										
ysemy	change	8/19/2011										
bed	change	8/19/2011										
bun	change	8/19/2011										
bhl	change	8/19/2011										
pdi	change	8/19/2011										
pdimy	change	8/19/2011										
poa	change	8/19/2011										
poamy	change	8/19/2011										
psu	change	8/19/2011										
psumy	change	8/19/2011										
kivho	change	8/19/2011										
yiy	change	8/19/2011										
ypr	change	8/19/2011										
yprrt	change	8/19/2011										
ypt	change	8/19/2011										
bfa	change	8/19/2011										
bsa	change	8/19/2011										
bho	change	8/19/2011										
tpr	change	8/19/2011										
yot	change	8/19/2011										
yds	change	8/19/2011										
tad	change	8/19/2011										
yempv	change	8/19/2011										
bunmy	change	8/19/2011										
tis	change	8/19/2011										
poatx	change	8/19/2011										
afc	change	8/19/2011										
amrrm	change	8/19/2011										
amrtn	change	8/19/2011										
xhc	change	8/19/2011										
xhcmomi	change	8/19/2011										
xhcot	change	8/19/2011										
xhcrt	change	8/19/2011										
xmp	change	8/19/2011										
xpp	change	8/19/2011										
tscee_s	change	8/19/2011										
tscer_s	change	8/19/2011										
tscse_s	change	8/19/2011										
tin_s	change	8/19/2011										
drgur	change	8/19/2011										
poass	change	8/19/2011										
psuss	change	8/19/2011										
poass	change	8/19/2011										
psutx	change	8/19/2011										
pdiss01	change	8/19/2011										
pdiss02	change	8/19/2011										
pdiss	change	8/19/2011										
pditx	change	8/19/2011										
pdint	change	8/19/2011										
bfacc	change	8/19/2011										
bfapl	change	8/19/2011										
yiynt	change	8/19/2011										
yiytx	change	8/19/2011										
pss_s	change	8/19/2011										
bun_s	change	8/19/2011										
bfapl_s	change	8/19/2011										
tintach_s	change	8/19/2011										
tintadp_s	change	8/19/2011										
tintasp_s	change	8/19/2011										
tintaee_s	change	8/19/2011										
tintapv_s	change	8/19/2011										
tintape_s	change	8/19/2011										
bml	change	8/19/2011										
bunot	change	8/19/2011										
bch	change	8/19/2011										
bchba	change	8/19/2011										
bedet	add	8/19/2011										
bedsl	change	8/19/2011										
bedet	change	8/19/2011										
bfamh	change	8/19/2011										
psuor	change	8/19/2011										
psuot	change	8/19/2011										
psuwd	change	8/19/2011										
bchba_s	change	8/19/2011										
bsa_s	change	8/19/2011										
bch_s	change	8/19/2011										
txc_s	change	8/19/2011										
tinta_s	change	8/19/2011										
tintccd_s	add	8/31/2011										
tintchlyn	add	8/31/2011										
tintclf_s	add	8/31/2011										
tintcfu_s	add	8/31/2011										
tintccdyn	add	8/31/2011										
tintcoxyn	add	8/31/2011										
tintclfyn	add	8/31/2011										
tintcfuyn	add	8/31/2011										
tintaoxyn	add	8/31/2011										
poamt00_s	add	8/31/2011										
poamt01_s	add	8/31/2011										
poamt02_s	add	8/31/2011										
sgl_s	add	8/31/2011										
bchdied	add	8/31/2011										
bchlp00	add	8/31/2011										
bchuc	add	8/31/2011										
bchuc_s	add	8/31/2011										
bfaam	add	8/31/2011										
bhoot	add	8/31/2011										
bsapm	add	8/31/2011										
bsapmot	add	8/31/2011										
bsatm	add	8/31/2011										
poacmdi	add	8/31/2011										
poacmoa	add	8/31/2011										
poacmsu	add	8/31/2011										
poafr	add	8/31/2011										
tintced_s	add	8/31/2011										
tintchi_s	add	8/31/2011										
tintcho_s	add	8/31/2011										
tintcrh_s	add	8/31/2011										
xhcrh	add	8/31/2011										
yivag00_s	add	8/31/2011										
yivag01_s	add	8/31/2011										
