	BELGIUM	sys_par_name	sys_reserved	sys_first_sys	BE_2005	BE_2006	BE_2007	BE_2008	BE_2009	BE_2010	sys_end_sys
		output_var	87		bun_s	bun_s	bun_s	bun_s	bun_s	bun_s	
		TAX_UNIT	88		tu_individual_be	tu_individual_be	tu_individual_be	tu_individual_be	tu_individual_be	tu_individual_be	
		func_Elig	89		on	on	on	on	on	on	
		elig_cond	90		{s00>0} & {yempv > 0} & {liwwh>0} & (({liwwh<240} & {dag>=50}) | ({liwwh>=240} & {dag>=50} & {lunmy<=12}) | {dag<50})	{s00>0} & {yempv > 0} & {liwwh>0} & (({liwwh<240} & {dag>=50}) | ({liwwh>=240} & {dag>=50} & {lunmy<=12}) | {dag<50})	{s00>0} & {yempv > 0} & {liwwh>0} & (({liwwh<240} & {dag>=50}) | ({liwwh>=240} & {dag>=50} & {lunmy<=12}) | {dag<50})	{s00>0} & {yempv > 0} & {liwwh>0} & (({liwwh<240} & {dag>=50}) | ({liwwh>=240} & {dag>=50} & {lunmy<=12}) | {dag<50})	{s00>0} & {yempv > 0} & {liwwh>0} & (({liwwh<240} & {dag>=50}) | ({liwwh>=240} & {dag>=50} & {lunmy<=12}) | {dag<50})	{s00>0} & {yempv > 0} & {liwwh>0} & (({liwwh<240} & {dag>=50}) | ({liwwh>=240} & {dag>=50} & {lunmy<=12}) | {dag<50})	
		TAX_UNIT	91		tu_individual_be	tu_individual_be	tu_individual_be	tu_individual_be	tu_individual_be	tu_individual_be	
		func_BenCalc	92		on	on	on	on	on	on	
		who_must_be_elig	93		one	one	one	one	one	one	
		comp1_cond	94		{sin05_s=2} & {IsDisabled}	{sin05_s=2} & {IsDisabled}	{sin05_s=2} & {IsDisabled}	{sin05_s=2} & {IsDisabled}	{sin05_s=2} & {IsDisabled}	{sin05_s=2} & {IsDisabled}	
		comp1_perElig	95		$UI_ReplRateDisabDep*yempv	$UI_ReplRateDisabDep*yempv	$UI_ReplRateDisabDep*yempv	$UI_ReplRateDisabDep*yempv	$UI_ReplRateDisabDep*yempv	$UI_ReplRateDisabDep*yempv	
		comp2_cond	96		{sin05_s=2} & !{IsDisabled}	{sin05_s=2} & !{IsDisabled}	{sin05_s=2} & !{IsDisabled}	{sin05_s=2} & !{IsDisabled}	{sin05_s=2} & !{IsDisabled} & {lunmy<=6}	{sin05_s=2} & !{IsDisabled} & {lunmy<=6}	
